iter	MultiClass
0	1.097236598
1	1.096056143
2	1.094945816
3	1.093779953
4	1.092510552
5	1.091689714
6	1.090367487
7	1.08901757
8	1.087706404
9	1.086473536
10	1.085593632
11	1.084327966
12	1.082900478
13	1.08189214
14	1.080881068
15	1.079506703
16	1.078301341
17	1.076911486
18	1.075909857
19	1.074629568
20	1.073470076
21	1.072304329
22	1.071398974
23	1.070058568
24	1.069020588
25	1.06778191
26	1.066642961
27	1.065235162
28	1.064323451
29	1.063249075
30	1.062141737
31	1.06107577
32	1.060119447
33	1.058931196
34	1.057890762
35	1.056233201
36	1.0551352
37	1.054256624
38	1.053006932
39	1.05216519
40	1.05141843
41	1.04980226
42	1.048975513
43	1.047808659
44	1.047124833
45	1.046022123
46	1.044599832
47	1.043693637
48	1.042814776
49	1.041679831
50	1.040609593
51	1.039798585
52	1.038811794
53	1.037751555
54	1.036738622
55	1.035583654
56	1.034721322
57	1.033824622
58	1.033068622
59	1.031788813
60	1.030501012
61	1.02966191
62	1.028377789
63	1.027614543
64	1.02664202
65	1.025841371
66	1.024960573
67	1.024052905
68	1.022981917
69	1.021833688
70	1.02092435
71	1.019884561
72	1.019220339
73	1.018372775
74	1.01740889
75	1.016714237
76	1.015806038
77	1.015239868
78	1.01394284
79	1.012838764
80	1.011957223
81	1.010959514
82	1.009800392
83	1.008886233
84	1.008074732
85	1.006903336
86	1.00545225
87	1.004846931
88	1.00414159
89	1.003314904
90	1.002157483
91	1.001434267
92	1.000276646
93	0.9991974796
94	0.998050035
95	0.9971073787
96	0.9965396767
97	0.9955449104
98	0.9947182047
99	0.9937811475
