iter	Passed	Remaining
0	152	15107
1	165	8088
2	176	5715
3	192	4608
4	205	3897
5	216	3393
6	225	2993
7	232	2673
8	238	2412
9	244	2199
10	250	2024
11	256	1880
12	261	1750
13	267	1641
14	274	1556
15	282	1484
16	290	1418
17	295	1347
18	300	1281
19	306	1225
20	311	1172
21	317	1124
22	323	1083
23	328	1041
24	334	1003
25	342	973
26	347	938
27	355	913
28	361	885
29	367	856
30	372	829
31	377	803
32	382	777
33	388	753
34	393	731
35	399	709
36	406	692
37	411	671
38	417	653
39	424	636
40	429	618
41	437	603
42	442	586
43	447	569
44	452	553
45	457	537
46	462	521
47	469	508
48	476	495
49	483	483
50	490	471
51	495	457
52	502	445
53	508	432
54	513	420
55	519	407
56	525	396
57	532	385
58	537	373
59	542	361
60	549	351
61	554	339
62	559	328
63	565	317
64	572	308
65	579	298
66	584	288
67	590	277
68	596	267
69	607	260
70	614	251
71	620	241
72	625	231
73	631	221
74	637	212
75	644	203
76	650	194
77	658	185
78	666	177
79	675	168
80	681	159
81	686	150
82	691	141
83	698	133
84	703	124
85	710	115
86	716	106
87	722	98
88	728	89
89	733	81
90	739	73
91	746	64
92	753	56
93	760	48
94	765	40
95	771	32
96	776	24
97	781	15
98	791	7
99	796	0
